log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2021-01-01 01:56:34.096150,1609466194.0961063,2021-01-01 01:56:34.95,1609466194.095226,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 01:56:34.096721,1609466194.0966892,2021-01-01 01:56:34.95,1609466194.095903,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 01:56:34.097304,1609466194.097273,2021-01-01 01:56:34.96,1609466194.096531,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 01:58:43.920137,1609466323.920066,2021-01-01 01:58:43.918,1609466323.918702,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:01:34.002771,1609466494.0027354,2021-01-01 02:01:34.1,1609466494.001871,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:01:34.003278,1609466494.003253,2021-01-01 02:01:34.2,1609466494.002511,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:01:34.003719,1609466494.0036893,2021-01-01 02:01:34.3,1609466494.003048,300.0,daisy-anthem,SPaT,2998,NA,NA
2021-01-01 02:01:34.007466,1609466494.0074306,2021-01-01 02:01:34.6,1609466494.006742,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:03:43.439190,1609466623.4391398,2021-01-01 02:03:43.438,1609466623.43838,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:06:34.007955,1609466794.0079215,2021-01-01 02:06:34.7,1609466794.007099,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:06:34.055178,1609466794.0551393,2021-01-01 02:06:34.54,1609466794.054181,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:06:34.056478,1609466794.0564463,2021-01-01 02:06:34.55,1609466794.055674,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:06:34.057607,1609466794.0575764,2021-01-01 02:06:34.56,1609466794.056884,300.0,daisy-anthem,SPaT,3002,NA,NA
2021-01-01 02:08:43.999196,1609466923.9991522,2021-01-01 02:08:43.998,1609466923.99841,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:11:34.003122,1609467094.0030959,2021-01-01 02:11:34.2,1609467094.002404,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:11:34.010285,1609467094.0102525,2021-01-01 02:11:34.9,1609467094.00952,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:11:34.030608,1609467094.030575,2021-01-01 02:11:34.10,1609467094.010077,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:11:34.031068,1609467094.0310392,2021-01-01 02:11:34.10,1609467094.010575,300.0,daisy-anthem,SPaT,3000,NA,NA
2021-01-01 02:13:43.519072,1609467223.519027,2021-01-01 02:13:43.518,1609467223.518322,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:16:34.018152,1609467394.0181046,2021-01-01 02:16:34.17,1609467394.017068,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:16:34.043003,1609467394.0429592,2021-01-01 02:16:34.42,1609467394.042069,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:16:34.043547,1609467394.043517,2021-01-01 02:16:34.42,1609467394.042755,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:16:34.044149,1609467394.044119,2021-01-01 02:16:34.43,1609467394.043393,300.0,daisy-anthem,SPaT,3001,NA,NA
2021-01-01 02:18:43.039230,1609467523.0391824,2021-01-01 02:18:43.38,1609467523.038371,300.0,daisy-anthem,SRM,0,0,0
2021-01-01 02:21:34.001172,1609467694.0011356,2021-01-01 02:21:34.0,1609467694.000306,300.0,daisy-anthem,RemoteBSM,0,NA,NA
2021-01-01 02:21:34.141800,1609467694.141764,2021-01-01 02:21:34.140,1609467694.140891,300.0,daisy-anthem,SSM,0,NA,NA
2021-01-01 02:21:34.142293,1609467694.1422648,2021-01-01 02:21:34.141,1609467694.141549,300.0,daisy-anthem,MAP,300,NA,NA
2021-01-01 02:21:34.142776,1609467694.1427476,2021-01-01 02:21:34.142,1609467694.142098,300.0,daisy-anthem,SPaT,3000,NA,NA
