Message Sent,Message Received,Display Updated
1575564324.1321676,1575564329.0187914,1575564329.026286
1575564324.1321676,1575564329.1276276,1575564329.1346073
1575564324.1321676,1575564329.2361684,1575564329.2409012
1575564324.1321676,1575564329.3415456,1575564329.3435612
1575564324.1321676,1575564329.444593,1575564329.4502115
1575564324.1321676,1575564329.551333,1575564329.5581105
1575564324.1321676,1575564329.6594028,1575564329.6653824
1575564324.1321676,1575564329.767433,1575564329.779708
1575564324.1321676,1575564329.880882,1575564329.8875618
1575564324.1321676,1575564329.9887679,1575564329.9965835
1575564324.1321676,1575564330.098253,1575564330.1075816
1575564324.1321676,1575564330.208708,1575564330.2140362
1575564324.1321676,1575564330.3155866,1575564330.3243487
1575564324.1321676,1575564330.4255676,1575564330.431773
1575564324.1321676,1575564330.5332727,1575564330.5410285
1575564324.1321676,1575564330.6422303,1575564330.6479928
1575564324.1321676,1575564330.749402,1575564330.7570298
1575564324.1321676,1575564330.8586774,1575564330.8691466
1575564324.1321676,1575564330.9703133,1575564330.9766238
1575564324.1321676,1575564331.0777836,1575564331.0840793
1575564324.1321676,1575564331.1856318,1575564331.192345
1575564324.1321676,1575564331.293597,1575564331.3002117
1575564324.1321676,1575564331.401816,1575564331.4086
1575564324.1321676,1575564331.5093179,1575564331.5111458
1575564324.1321676,1575564331.6121824,1575564331.6211689
1575564324.1321676,1575564331.7223532,1575564331.7310586
1575564324.1321676,1575564331.832195,1575564331.8407905
1575564324.1321676,1575564331.9423952,1575564331.953176
1575564324.1321676,1575564332.054392,1575564332.0607848
1575564324.1321676,1575564332.1620383,1575564332.1685193
1575564324.1321676,1575564332.269655,1575564332.275698
1575564324.1321676,1575564332.377049,1575564332.38525
1575564324.1321676,1575564332.4865372,1575564332.493415
1575564324.1321676,1575564332.5944407,1575564332.600982
1575564324.1321676,1575564332.7022567,1575564332.708725
1575564324.1321676,1575564332.8100102,1575564332.8171136
1575564324.1321676,1575564332.9185944,1575564332.9247653
1575564324.1321676,1575564333.0264974,1575564333.039292
1575564324.1321676,1575564333.1406019,1575564333.146511
1575564324.1321676,1575564333.2480383,1575564333.2545793
1575564324.1321676,1575564333.3561485,1575564333.3624215
1575564324.1321676,1575564333.46367,1575564333.4706626
1575564324.1321676,1575564333.5718462,1575564333.57794
1575564324.1321676,1575564333.6791768,1575564333.6854
1575564324.1321676,1575564333.7865574,1575564333.7929637
1575564324.1321676,1575564333.8941905,1575564333.9010837
1575564324.1321676,1575564334.0022821,1575564334.0085502
1575564324.1321676,1575564334.1102095,1575564334.1214712
1575564324.1321676,1575564334.2226894,1575564334.2288804
1575564324.1321676,1575564334.3300385,1575564334.3361895
1575564324.1321676,1575564334.4373367,1575564334.443581
1575564324.1321676,1575564334.5447521,1575564334.552619
1575564324.1321676,1575564334.653958,1575564334.6602418
1575564324.1321676,1575564334.7614079,1575564334.7678096
1575564324.1321676,1575564334.868945,1575564334.875226
1575564324.1321676,1575564334.9765193,1575564334.9827769
1575564324.1321676,1575564335.084048,1575564335.0902033
1575564324.1321676,1575564335.192135,1575564335.203721
1575564324.1321676,1575564335.3052912,1575564335.3126597
1575564324.1321676,1575564335.4139059,1575564335.4209201
1575564324.1321676,1575564335.5221217,1575564335.528298
1575564324.1321676,1575564335.6294758,1575564335.6363394
1575564324.1321676,1575564335.7375882,1575564335.7437577
1575564324.1321676,1575564335.8449516,1575564335.8535216
1575564324.1321676,1575564335.9547184,1575564335.9631329
